"","title","response","domestic","domestic2","foreign","foreign2"
"1","Captain America: Civil War","$1,151.9","$407.3","35.4%","$744.6","64.6%"
"2","Zootopia","$1,023.1","$341.3","33.4%","$681.9","66.6%"
"3","The Jungle Book (2016)","$941.3","$362.7","38.5%","$578.6","61.5%"
"4","Batman v Superman: Dawn of Justice","$872.7","$330.4","37.9%","$542.3","62.1%"
"5","Finding Dory","$872.1","$474.7","54.4%","$397.4","45.6%"
"6","Deadpool","$782.6","$363.1","46.4%","$419.5","53.6%"
"7","The Mermaid (Mei ren yu)","$553.8","$3.2","0.6%","$550.6","99.4%"
"8","X-Men: Apocalypse","$534.6","$155.4","29.1%","$379.2","70.9%"
"9","Kung Fu Panda 3","$519.9","$143.5","27.6%","$376.3","72.4%"
"10","The Secret Life of Pets","$506.9","$323.5","63.8%","$183.4","36.2%"
"11","Warcraft","$433.0","$47.2","10.9%","$385.8","89.1%"
"12","Monster Hunt","$385.3","$32.8k","0.0%","$385.3","100.0%"
"13","Independence Day: Resurgence","$379.1","$102.4","27.0%","$276.7","73.0%"
"14","The Angry Birds Movie","$345.7","$107.2","31.0%","$238.5","69.0%"
"15","The Legend of Tarzan","$335.7","$124.3","37.0%","$211.4","63.0%"
"16","The Conjuring 2","$317.8","$102.3","32.2%","$215.5","67.8%"
"17","Now You See Me 2","$312.3","$64.7","20.7%","$247.6","79.3%"
"18","Suicide Squad","$294.4","$161.1","54.7%","$133.3","45.3%"
"19","Ice Age: Collision Course","$289.8","$55.2","19.1%","$234.6","80.9%"
"20","Alice Through the Looking Glass","$289.5","$76.9","26.6%","$212.6","73.4%"
"21","Teenage Mutant Ninja Turtles: Out of the Shadows","$237.2","$81.7","34.4%","$155.5","65.6%"
"22","Central Intelligence","$206.2","$126.2","61.2%","$80.1","38.8%"
"23","Jason Bourne","$199.5","$108.5","54.4%","$91.0","45.6%"
"24","Star Trek Beyond","$197.0","$130.5","66.2%","$66.5","33.8%"
"25","London Has Fallen","$195.7","$62.5","31.9%","$133.2","68.1%"
"26","The Monkey King 2 in 3D","$193.7","$710k","0.4%","$193.0","99.6%"
"27","Me Before You","$191.9","$56.2","29.3%","$135.7","70.7%"
"28","Ghostbusters (2016)","$180.9","$118.1","65.3%","$62.8","34.7%"
"29","The Divergent Series: Allegiant","$179.2","$66.2","36.9%","$113.1","63.1%"
"30","The Huntsman: Winter's War","$164.6","$48.0","29.2%","$116.6","70.8%"
"31","Ip Man 3","$156.8","$2.7","1.7%","$154.2","98.3%"
"32","Gods of Egypt","$145.7","$31.2","21.4%","$114.5","78.6%"
"33","Detective Chinatown (Tang ren jie tan an)","$125.8","$474k","0.4%","$125.4","99.6%"
"34","Ride Along 2","$124.2","$90.9","73.1%","$33.4","26.9%"
"35","The BFG","$113.4","$52.9","46.7%","$60.5","53.3%"
"36","How to Be Single","$112.1","$46.8","41.8%","$65.3","58.2%"
"37","The 5th Wave","$109.9","$34.9","31.8%","$75.0","68.2%"
"38","10 Cloverfield Lane","$108.3","$72.1","66.6%","$36.2","33.4%"
"39","Neighbors 2: Sorority Rising","$107.2","$55.3","51.6%","$51.8","48.4%"
"40","The Purge: Election Year","$99.1","$78.9","79.6%","$20.2","20.4%"
"41","The Little Prince","$97.6","$1.3","1.4%","$96.2","98.6%"
"42","Dirty Grandpa","$94.1","$35.6","37.8%","$58.5","62.2%"
"43","Money Monster","$92.8","$41.0","44.2%","$51.8","55.8%"
"44","My Big Fat Greek Wedding 2","$88.9","$59.7","67.1%","$29.2","32.9%"
"45","Lights Out","$87.6","$56.5","64.5%","$31.1","35.5%"
"46","Sultan","$84.1","$5.6","6.7%","$78.5","93.3%"
"47","The Boss","$78.6","$63.1","80.2%","$15.6","19.8%"
"48","Miracles from Heaven","$73.6","$61.7","83.9%","$11.9","16.1%"
"49","The Shallows","$70.7","$54.3","76.8%","$16.4","23.2%"
"50","13 Hours: The Secret Soldiers of Benghazi","$69.4","$52.9","76.1%","$16.6","23.9%"
"51","The Boy (2016)","$64.2","$35.8","55.8%","$28.4","44.2%"
"52","Hail, Caesar!","$63.2","$30.1","47.6%","$33.1","52.4%"
"53","Bad Moms","$61.1","$55.5","90.8%","$5.7","9.2%"
"54","Mike and Dave Need Wedding Dates","$57.7","$45.2","78.3%","$12.5","21.7%"
"55","Zoolander 2","$56.0","$28.8","51.5%","$27.1","48.5%"
"56","Barbershop: The Next Cut","$55.0","$54.0","98.2%","$1.0","1.8%"
"57","The Finest Hours","$52.1","$27.6","52.9%","$24.5","47.1%"
"58","Eddie the Eagle","$46.2","$15.8","34.2%","$30.4","65.8%"
"59","Risen","$46.1","$36.9","80.1%","$9.2","19.9%"
"60","The Witch","$40.4","$25.1","62.2%","$15.3","37.8%"
"61","The Forest","$37.6","$26.6","70.7%","$11.0","29.3%"
